"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"45","5-1-90-19-SW",0,0,0.220999865840036,0,0,0,0,0,26.124748281047,0,0,8.81903978123,0,0,0,0,26.6777802771995,0,0,0,0,0,0,0,4.11587079618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.124748280986,0,0,0,0,0,0,0,0,0.658902458794,0,0
"46","5-1-90-2-NE",0,0,6.1384297455,0,0,0,0,0,10.996875516256,0,0,0,2.7231132418105,0,0,0,23.285493605732,0,0,0,0,0.0016913441136,0.268699173546,0,4.4600165154,0,0,0,1.45357020353,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6128063756791,0,0,1.56667918985,0,0,0,0,0,0,0,0,0,10.996875516255,0,0,0,0,0,0,0,0,0.945869186169,0,0
"47","5-1-90-2-NW",0,0,0,0,1.7401833003643,0,0,4.673934186334,4.66825866338,0,0,0,14.64797166438,0,0,0,2.33998646609,0,0,0,0,0,0,0,0.10394732724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72703905694,0,0,0.504788693352,0,0,0,0,0,0,0,0,0,4.66825866338,0,0,0,0,0,0,0,0,0.331247424384,0,0
"48","5-1-90-2-SE",0,0,0,0,1.7703966627021,0,0,0,0,0,0,0,0,0,0,4.574757669652,1.028085238892,0,0,0,0,0,1.20911623258,0,0,0,0,0,1.28429851991,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98060161810681,0,0.1335590135014,5.713046554947,0.8587715350123,0,0,0,0,14.470461664595,0,0,0,14.470461693238,0,0,0,0,0,0,0,0,0.77687810025299,0,0
"49","5-1-90-2-SW",0,0,0,0,2.09787187703,0,0,0,1.997010861497,0,0.1145172470096,0.131652383353,0.263697984887,0,0,0,5.178984822683,0,0,0,0,0,0,0,0.791272984432,5.50073075040171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.960237008414,0,0,0.818522737228,0,0,0,0,0,0,4.3470362990828,0,0,6.3440471516929,0,0,0,0,0,0,0,0,0.55629990039631,0,0
"50","5-1-90-20-NE",0,0,0,0,3.60100389439,0,0,0,19.783529545499,0,0,0,0,0,0,5.40562419721,0.254745927727,0,0,0,0,0,0,0,0,0,0,0,0.308235373006219,0,0,0,0,0,0,0,0,0,0,0,0,11.7378649260769,0,0,0,0,2.4508210357699,0,0,0.278879454386,0,16.944494660228,0,0,0,36.728024215363,0,0,0,0,0,0,0,0,0.58086857868155,0,0
"51","5-1-90-20-NW",0,0,0.33503449145,1.176680181349,0,0,0,2.59375321272694,12.780985081813,0,0.448728293126,0,0,0,0,0,2.06393394105,0,0,0,2.85968019625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.807519118187,0,8.810668491748,0,0,0,0,3.992504065487,0,0,0,0,20.2931602631,0,0,0,38.881664447313,0,0,0,0,0,0,0,0,0.49042563381283,0,0
"52","5-1-90-20-SE",0,0,0,0,0,0,0,0,0.713493747351,0,1.842995578664,0,0,0,0,0,0.0242007360644067,0,0,0,3.691796314196,0,0,0,0,0,0,0,0.197353667138,0,0,0,0,0,0,0,0,0,0,0,0,1.2277168761472,0,0,0,2.4368531060981,0.12849292666296,0,0,4.79719861203,0,0.451713614316,0,0,0,1.165207400287,0,0,0,0,0,0,0,0,0.0678310336213,0,0
"53","5-1-90-20-SW",0,0,0,0,0,0,0,0,6.786935220381,0,2.0772572457753,1.67876779109,0,0,0,0,19.699133480317,0,0,0,0,0,3.27598673757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.128599204482,0,0.939879765609,0,3.751360818282,0,0,0,0,0,0,0,0,0,0,0,0,0,7.726814985999,0,0,0,0,0,0,0,0,0.383856073037538,0,0.0689176233684
"54","5-1-90-21-NE",0,0,0,38.1138175597,0,0,0,18.43004116073,0,0,0,0,0,0,0,0,3.68098146307,0,0,0,0,0,0,0,0.69733653782,0.2392034768668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564876871547,0,0,0,0.0564876872453,0,0,0,0,0,0,0,0,0.880563548113,0,0
"55","5-1-90-21-NW",0,0,0,12.872890407851,2.93286165979,0,0,4.0070794085965,5.220678969337,0,0,0,0,0,0,5.733323265196,0.408452914336,0,0,0,0,0,0,0,0,2.488739681659,0,0,2.219362738594,0,0,0,0,0,0,0,0,0,0,0,0,16.775568733,0,0,0,0,1.6507220499627,0,0,0,0,9.97003405448,0,0,0,15.190713021857,0,0,0,0,0,0,0,0,1.30499916980006,0,0
